Australian Bureau of Statistics,,,,,,,,,,,
"Schools, Australia, 2020",,,,,,,,,,,
#REF!,,,,,,,,,,,
#REF!,,,,,,,,,,,
Year,State/Territory,Affiliation (Gov/Non-gov),Affiliation (Gov/Cath/Ind),FT/PT,Sex,School Level,National Report on Schooling (ANR) School Level,Year (Grade),FTE Aboriginal and Torres Strait Islander Students ,FTE Non-Indigenous Students ,FTE All Students 
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,f Year 5,42,543,585
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,g Year 6,59,577,636
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,60,684,744
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,45,672,717
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,49,605,654
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,40,639,679
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,21,412,433
2019,f Tas.,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,23,416,439
2019,f Tas.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,2,2
2019,f Tas.,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,d Year 3,0,4,4
2019,f Tas.,b Non-government,b Catholic,b Part-time,b Female,a Primary School,a Primary School,e Year 4,2.4,0,2.4
2019,f Tas.,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,0,2.3,2.3
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),20,259,279
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,b Year 1,13,269,282
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,c Year 2,16,288,304
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,d Year 3,17,281,298
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,e Year 4,14,320,334
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,f Year 5,22,345,367
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,g Year 6,22,365,387
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,i Ungraded primary,0,11,11
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,19,493,512
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,17,497,514
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,16,429,445
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,13,456,469
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,10,10
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,4,350,354
2019,f Tas.,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,12,332,344
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),19,260,279
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,b Year 1,19,247,266
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,c Year 2,16,284,300
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,d Year 3,16,261,277
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,e Year 4,17,304,321
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,f Year 5,14,360,374
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,g Year 6,25,390,415
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,16,432,448
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,18,452,470
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,21,438,459
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,13,462,475
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,9,364,373
2019,f Tas.,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,9,321,330
2019,f Tas.,b Non-government,c Independent,b Part-time,a Male,a Primary School,a Primary School,i Ungraded primary,0,4.4,4.4
2019,f Tas.,b Non-government,c Independent,b Part-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,2.5,0,2.5
2019,f Tas.,b Non-government,c Independent,b Part-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,3.5,3.5
2019,f Tas.,b Non-government,c Independent,b Part-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,0,2.8,2.8
2019,f Tas.,b Non-government,c Independent,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,0,1.2,1.2
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),594,857,1451
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,b Year 1,580,810,1390
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,c Year 2,593,840,1433
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,d Year 3,625,794,1419
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,e Year 4,656,793,1449
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,f Year 5,646,724,1370
2019,g NT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,g Year 6,613,753,1366
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,526,519,1045
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,432,572,1004
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,396,512,908
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,369,560,929
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,p Ungraded secondary,8,32,40
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,358,540,898
2019,g NT,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,167,357,524
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),568,828,1396
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,b Year 1,580,816,1396
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,c Year 2,615,786,1401
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,d Year 3,607,699,1306
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,e Year 4,591,702,1293
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,f Year 5,573,652,1225
2019,g NT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,g Year 6,558,701,1259
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,468,554,1022
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,455,522,977
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,390,444,834
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,350,530,880
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,p Ungraded secondary,0,35,35
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,331,587,918
2019,g NT,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,176,445,621
2019,g NT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,b Year 1,1.3,2,3.3
2019,g NT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,c Year 2,1.1,0,1.1
2019,g NT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,e Year 4,0.7,0,0.7
2019,g NT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,f Year 5,1.2,0,1.2
2019,g NT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,g Year 6,3,0,3
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,2,0,2
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,3.3,0,3.3
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,2.8,4,6.8
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,2.8,0,2.8
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,2.8,1.9,4.7
2019,g NT,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,2.3,3,5.3
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),1.6,0,1.6
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,b Year 1,1.5,0,1.5
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,c Year 2,0.3,0,0.3
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,d Year 3,0.8,0,0.8
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,e Year 4,0.7,0,0.7
2019,g NT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,g Year 6,0.3,0,0.3
2019,g NT,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,2.6,0,2.6
2019,g NT,a Government,a Government,b Part-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,4.6,1.4,6
2019,g NT,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,2.7,3.2,5.9
2019,g NT,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,3.6,3.8,7.4
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),63,113,176
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,b Year 1,51,103,154
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,c Year 2,79,98,177
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,d Year 3,67,115,182
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,e Year 4,66,109,175
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,f Year 5,62,104,166
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,g Year 6,57,140,197
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,96,161,257
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,76,161,237
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,65,171,236
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,73,117,190
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,48,118,166
2019,g NT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,37,119,156
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),64,112,176
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,b Year 1,50,103,153
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,c Year 2,57,124,181
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,d Year 3,76,114,190
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,e Year 4,68,110,178
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,f Year 5,86,113,199
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,g Year 6,54,105,159
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,88,169,257
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,67,145,212
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,71,149,220
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,73,120,193
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,51,100,151
2019,g NT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,35,70,105
2019,g NT,b Non-government,b Catholic,b Part-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,0,2.8,2.8
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),24,172,196
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,b Year 1,36,167,203
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,c Year 2,30,157,187
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,d Year 3,31,174,205
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,e Year 4,33,172,205
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,f Year 5,42,192,234
2019,g NT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,g Year 6,33,178,211
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,82,209,291
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,89,208,297
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,76,202,278
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,108,156,264
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,39,137,176
2019,g NT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,38,140,178
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),26,171,197
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,b Year 1,28,167,195
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,c Year 2,30,183,213
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,d Year 3,36,173,209
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,e Year 4,34,183,217
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,f Year 5,27,178,205
2019,g NT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,g Year 6,26,189,215
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,93,210,303
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,72,225,297
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,76,179,255
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,92,147,239
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,39,160,199
2019,g NT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,35,158,193
2019,g NT,b Non-government,c Independent,b Part-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,2.4,0,2.4
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),79,2109,2188
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,b Year 1,100,2034,2134
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,c Year 2,69,1913,1982
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,d Year 3,88,1899,1987
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,e Year 4,83,1820,1903
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,f Year 5,66,1741,1807
2019,h ACT,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,g Year 6,77,1614,1691
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,85,1553,1638
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,59,1479,1538
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,63,1407,1470
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,61,1447,1508
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,55,1574,1629
2019,h ACT,a Government,a Government,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,32,1282,1314
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),74,1912,1986
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,b Year 1,72,1912,1984
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,c Year 2,68,1826,1894
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,d Year 3,73,1757,1830
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,e Year 4,67,1711,1778
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,f Year 5,52,1589,1641
2019,h ACT,a Government,a Government,a Full-time,b Female,a Primary School,a Primary School,g Year 6,52,1602,1654
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,52,1360,1412
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,58,1345,1403
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,65,1248,1313
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,62,1311,1373
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,58,1519,1577
2019,h ACT,a Government,a Government,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,63,1378,1441
2019,h ACT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,3.9,3.9
2019,h ACT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,c Year 2,0,2.9,2.9
2019,h ACT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,d Year 3,0,1.9,1.9
2019,h ACT,a Government,a Government,b Part-time,a Male,a Primary School,a Primary School,f Year 5,0,1.4,1.4
2019,h ACT,a Government,a Government,b Part-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,0,1.6,1.6
2019,h ACT,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,0,4.2,4.2
2019,h ACT,a Government,a Government,b Part-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,2.5,43.7,46.2
2019,h ACT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),0,2.6,2.6
2019,h ACT,a Government,a Government,b Part-time,b Female,a Primary School,a Primary School,e Year 4,0,1.9,1.9
2019,h ACT,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,0,6.4,6.4
2019,h ACT,a Government,a Government,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,2.7,58.6,61.3
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),10,584,594
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,b Year 1,12,573,585
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,c Year 2,13,636,649
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,d Year 3,23,662,685
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,e Year 4,15,752,767
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,f Year 5,16,732,748
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,a Primary School,a Primary School,g Year 6,21,732,753
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,26,894,920
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,19,834,853
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,20,781,801
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,10,762,772
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,10,592,602
2019,h ACT,b Non-government,b Catholic,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,6,524,530
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),21,604,625
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,b Year 1,13,586,599
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,c Year 2,15,593,608
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,d Year 3,13,590,603
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,e Year 4,13,664,677
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,f Year 5,19,652,671
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,a Primary School,a Primary School,g Year 6,15,643,658
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,18,810,828
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,21,763,784
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,22,725,747
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,9,690,699
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,11,491,502
2019,h ACT,b Non-government,b Catholic,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,10,506,516
2019,h ACT,b Non-government,b Catholic,b Part-time,a Male,a Primary School,a Primary School,c Year 2,0,2.5,2.5
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),6,380,386
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,b Year 1,3,352,355
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,c Year 2,3,355,358
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,d Year 3,5,375,380
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,e Year 4,4,362,366
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,f Year 5,3,360,363
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,a Primary School,a Primary School,g Year 6,0,335,335
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,j Year 7 secondary,5,430,435
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,k Year 8,4,412,416
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,l Year 9,6,427,433
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,b Junior Secondary School,m Year 10,9,420,429
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,n Year 11,3,336,339
2019,h ACT,b Non-government,c Independent,a Full-time,a Male,b Secondary School,c Senior Secondary School,o Year 12,3,336,339
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),3,383,386
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,b Year 1,4,353,357
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,c Year 2,4,358,362
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,d Year 3,3,370,373
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,e Year 4,0,402,402
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,f Year 5,8,373,381
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,a Primary School,a Primary School,g Year 6,4,395,399
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,j Year 7 secondary,7,511,518
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,k Year 8,11,510,521
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,l Year 9,6,475,481
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,b Junior Secondary School,m Year 10,10,476,486
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,n Year 11,6,392,398
2019,h ACT,b Non-government,c Independent,a Full-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,3,357,360
2019,h ACT,b Non-government,c Independent,b Part-time,b Female,b Secondary School,c Senior Secondary School,o Year 12,0,3.9,3.9
2018,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,a Pre-Year 1 (Foundation Year),3006,34490,37496
2018,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,b Year 1,2736,33468,36204
2018,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,c Year 2,2587,33172,35759
2018,a NSW,a Government,a Government,a Full-time,a Male,a Primary School,a Primary School,d Year 3,2496,32549,35045
